1,Andhra Pradesh
2,Arunachal Pradesh
3,Assam
4,Bihar
5,Chhattisgarh
6,Goa
7,Gujarat
8,Haryana
9,Himachal Pradesh
10,
11,Jharkhand
12,Karnataka
13,Kerala
14,Madhya Pradesh
15,Maharashtra
16,
17,Manipur
18,Meghalaya
19,Mizoram
20,Nagaland
21,Odisha
22,Punjab
23,Rajasthan
24,Sikkim
25,Tamil Nadu
26,Telangana
27,Tripura
28,Uttar Pradesh
29,Uttarakhand
30,
31,West Bengal
